Starting simulation with 108 atoms for 10000 steps.
     NFI            TEMP            EKIN                 EPOT              ETOT
       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890135          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114395          20.01426874        -157.30132634        -137.28705761
    2100          57.86465886          18.45574056        -155.66814504        -137.21240447
    2200          60.48709290          19.29215718        -156.59447067        -137.30231349
    2300          53.81193895          17.16313902        -154.43944723        -137.27630821
    2400          59.52572193          18.98553111        -156.33952786        -137.35399675
    2500          58.92686580          18.79452794        -156.03041539        -137.23588745
    2600          61.65941058          19.66606401        -156.94491184        -137.27884783
    2700          58.81987816          18.76040458        -156.07031129        -137.30990671
    2800          53.15475441          16.95353220        -154.26693031        -137.31339812
    2900          54.95193275          17.52673625        -154.82877239        -137.30203614
    3000          55.99963525          17.86089748        -155.23428941        -137.37339192
    3100          56.97370050          18.17157236        -155.46230008        -137.29072773
    3200          54.82660951          17.48676482        -154.82425994        -137.33749512
    3300          58.17829045          18.55577232        -155.99088333        -137.43511101
    3400          57.28774437          18.27173560        -155.64133223        -137.36959662
    3500          55.43538936          17.68093313        -155.09610272        -137.41516959
    3600          55.08702290          17.56982281        -155.00138713        -137.43156432
    3700          56.84785591          18.13143464        -155.56335885        -137.43192420
    3800          51.62425142          16.46538336        -153.98194842        -137.51656506
    3900          52.18939994          16.64563560        -154.10760236        -137.46196676
    4000          52.04617577          16.59995473        -153.99291181        -137.39295708
    4100          56.74471725          18.09853891        -155.56941294        -137.47087403
    4200          51.99339697          16.58312110        -154.04126003        -137.45813893
    4300          51.52237132          16.43288904        -153.89530254        -137.46241350
    4400          53.07428658          16.92786725        -154.36741576        -137.43954851
    4500          55.29899780          17.63743150        -155.00658530        -137.36915381
    4600          50.50698821          16.10903597        -153.47406885        -137.36503288
    4700          54.78517809          17.47355041        -154.81888144        -137.34533103
    4800          51.49944331          16.42557623        -153.86917108        -137.44359485
    4900          44.26188592          14.11718136        -151.47318077        -137.35599941
    5000          52.32066661          16.68750267        -154.07311111        -137.38560844
    5100          51.90623065          16.55531970        -153.90166335        -137.34634365
    5200          49.52260884          15.79507145        -153.16428638        -137.36921493
    5300          52.90487738          16.87383475        -154.25514425        -137.38130950
    5400          54.38662316          17.34643264        -154.72420910        -137.37777646
    5500          50.60880046          16.14150865        -153.51039687        -137.36888822
    5600          50.54660784          16.12167252        -153.47633991        -137.35466739
    5700          47.28025622          15.07988053        -152.49606122        -137.41618069
    5800          56.26189746          17.94454514        -155.39666933        -137.45212418
    5900          56.74000144          18.09703482        -155.64686661        -137.54983179
    6000          49.09580204          15.65894283        -153.12649753        -137.46755470
    6100          50.32953272          16.05243713        -153.40553535        -137.35309822
    6200          58.35568748          18.61235251        -156.15012606        -137.53777355
    6300          46.49304250          14.82880133        -152.25908164        -137.43028031
    6400          47.80076401          15.24589476        -152.65749402        -137.41159926
    6500          53.80109697          17.15968101        -154.57632484        -137.41664383
    6600          46.52726980          14.83971802        -152.28671728        -137.44699926
    6700          53.09259711          16.93370733        -154.34280325        -137.40909591
    6800          53.50301155          17.06460765        -154.53671864        -137.47211099
    6900          56.26834657          17.94660207        -155.40277976        -137.45617769
    7000          49.67801380          15.84463734        -153.30408315        -137.45944581
    7100          46.85890647          14.94549243        -152.25175642        -137.30626400
    7200          58.52757379          18.66717508        -155.95947952        -137.29230445
    7300          50.28006824          16.03666060        -153.49656387        -137.45990327
    7400          51.65369922          16.47477564        -153.97828297        -137.50350733
    7500          53.31436077          17.00443812        -154.46496204        -137.46052392
    7600          52.52950255          16.75411020        -154.22226986        -137.46815966
    7700          52.29860917          16.68046752        -154.16783341        -137.48736589
    7800          50.62537095          16.14679375        -153.64914560        -137.50235185
    7900          59.80916498          19.07593433        -156.55660515        -137.48067082
    8000          54.91783604          17.51586122        -154.89476872        -137.37890750
    8100          54.79329022          17.47613775        -154.88623692        -137.41009918
    8200          48.61918484          15.50692736        -152.85313399        -137.34620662
    8300          54.21625664          17.29209481        -154.65912674        -137.36703193
    8400          48.00396329          15.31070449        -152.64966460        -137.33896011
    8500          51.92922962          16.56265514        -153.94477253        -137.38211739
    8600          49.63783281          15.83182175        -153.32707160        -137.49524985
    8700          53.86994469          17.18163976        -154.52820611        -137.34656635
    8800          50.66703654          16.16008285        -153.51820730        -137.35812444
    8900          49.54915774          15.80353913        -153.13453749        -137.33099837
    9000          51.31450234          16.36658992        -153.74150731        -137.37491739
    9100          56.57550085          18.04456790        -155.35168086        -137.30711296
