Starting simulation with 108 atoms for 10000 steps.
     NFI            TEMP            EKIN                 EPOT              ETOT
    9200          54.31181947          17.32257425        -154.60985824        -137.28728399
    9300          47.35590146          15.10400733        -152.42661973        -137.32261240
    9400          51.87530759          16.54545689        -153.97470710        -137.42925021
    9500          51.05216443          16.28291812        -153.69995626        -137.41703814
    9600          56.53958747          18.03311345        -155.48194756        -137.44883412
    9700          51.27200307          16.35303492        -153.82509514        -137.47206023
    9800          49.33670297          15.73577739        -153.12106213        -137.38528475
    9900          49.13323462          15.67088183        -153.08053950        -137.40965767
   10000          49.87671521          15.90801249        -153.27413187        -137.36611937
Simulation Done.
