Starting simulation with 108 atoms for 10000 steps.
     NFI            TEMP            EKIN                 EPOT              ETOT
       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890134          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114394          20.01426873        -157.30132634        -137.28705761
    2100          57.86465886          18.45574056        -155.66814504        -137.21240447
    2200          60.48709290          19.29215718        -156.59447068        -137.30231349
    2300          53.81193895          17.16313902        -154.43944723        -137.27630821
    2400          59.52572191          18.98553110        -156.33952785        -137.35399675
    2500          58.92686584          18.79452795        -156.03041540        -137.23588746
    2600          61.65941063          19.66606403        -156.94491185        -137.27884783
    2700          58.81987814          18.76040458        -156.07031129        -137.30990671
    2800          53.15475458          16.95353225        -154.26693037        -137.31339812
    2900          54.95193242          17.52673615        -154.82877229        -137.30203614
    3000          55.99963497          17.86089740        -155.23428933        -137.37339193
    3100          56.97369860          18.17157175        -155.46229947        -137.29072772
    3200          54.82660579          17.48676364        -154.82425874        -137.33749511
    3300          58.17828986          18.55577213        -155.99088316        -137.43511104
    3400          57.28760904          18.27169244        -155.64132083        -137.36962839
    3500          55.43526515          17.68089352        -155.09613258        -137.41523906
    3600          55.08691035          17.56978691        -155.00142979        -137.43164288
    3700          56.84784005          18.13142958        -155.56343376        -137.43200418
    3800          51.62361490          16.46518034        -153.98184722        -137.51666688
    3900          52.18976672          16.64575258        -154.10782331        -137.46207073
    4000          52.04645337          16.60004327        -153.99307750        -137.39303423
    4100          56.74068148          18.09725172        -155.56810568        -137.47085397
    4200          51.99626806          16.58403683        -154.04217908        -137.45814225
    4300          51.52700274          16.43436621        -153.89674663        -137.46238042
    4400          53.09374835          16.93407452        -154.37353745        -137.43946293
    4500          55.30079400          17.63800439        -154.99906405        -137.36105966
    4600          50.51953261          16.11303697        -153.47747350        -137.36443653
    4700          54.82781088          17.48714800        -154.82008711        -137.33293911
    4800          51.59403012          16.45574437        -153.93001118        -137.47426681
    4900          44.27400473          14.12104661        -151.46060431        -137.33955770
    5000          51.14368878          16.31210950        -153.75190688        -137.43979738
    5100          51.14114402          16.31129786        -153.74662967        -137.43533181
    5200          52.38165561          16.70695491        -153.98170117        -137.27474626
    5300          57.19444380          18.24197770        -155.57181276        -137.32983506
    5400          53.09342856          16.93397252        -154.31823816        -137.38426564
    5500          53.51908797          17.06973517        -154.46568246        -137.39594729
    5600          51.01197853          16.27010096        -153.74406728        -137.47396632
    5700          51.37544388          16.38602702        -153.82886133        -137.44283431
    5800          50.70606008          16.17252928        -153.53283166        -137.36030238
    5900          52.53738268          16.75662354        -154.15256120        -137.39593766
    6000          52.42767411          16.72163235        -154.08562725        -137.36399490
    6100          50.52744089          16.11555928        -153.51152267        -137.39596339
    6200          53.66502716          17.11628200        -154.46958045        -137.35329845
    6300          53.88844384          17.18754000        -154.50586116        -137.31832116
    6400          50.16921719          16.00130503        -153.35012097        -137.34881594
    6500          56.80714754          18.11845084        -155.49529481        -137.37684396
    6600          52.53548798          16.75601923        -154.20687454        -137.45085531
    6700          52.67674665          16.80107321        -154.19341030        -137.39233709
    6800          52.22796250          16.65793500        -153.98356053        -137.32562553
    6900          55.02209840          17.54911536        -154.91778994        -137.36867458
    7000          52.89741097          16.87145336        -154.24080103        -137.36934767
    7100          51.45032973          16.40991161        -153.85711374        -137.44720213
    7200          52.02745199          16.59398284        -154.02571309        -137.43173025
    7300          50.91768116          16.24002512        -153.63287586        -137.39285074
    7400          51.27241989          16.35316786        -153.82749934        -137.47433148
    7500          53.45137144          17.04813721        -154.51147146        -137.46333425
    7600          53.93685725          17.20298130        -154.55344792        -137.35046662
    7700          53.73505914          17.13861846        -154.57036548        -137.43174702
    7800          60.08458719          19.16377933        -156.49048962        -137.32671030
    7900          50.63960485          16.15133361        -153.43779208        -137.28645848
    8000          55.38099720          17.66358494        -154.99047082        -137.32688588
    8100          53.74516461          17.14184157        -154.45650608        -137.31466451
    8200          51.69021816          16.48642323        -153.93397363        -137.44755040
    8300          57.54768129          18.35464162        -155.70138649        -137.34674487
    8400          54.57635418          17.40694672        -154.73757666        -137.33062994
    8500          52.82013364          16.84680601        -154.27110582        -137.42429981
    8600          55.62848376          17.74251995        -155.15989651        -137.41737656
    8700          51.79526547          16.51992772        -153.94362030        -137.42369258
    8800          55.14101734          17.58704415        -154.95245987        -137.36541572
    8900          48.45830335          15.45561475        -152.88388505        -137.42827031
    9000          47.83424166          15.25657235        -152.55862124        -137.30204889
    9100          55.12029261          17.58043407        -154.95413627        -137.37370220
