Starting simulation with 108 atoms for 10000 steps.
     NFI            TEMP            EKIN                 EPOT              ETOT
    4100          56.74237765          18.09779270        -155.56871044        -137.47091773
    4200          51.99604011          16.58396412        -154.04219235        -137.45822823
    4300          51.52396650          16.43339782        -153.89594730        -137.46254949
    4400          53.09257580          16.93370054        -154.37708607        -137.44338553
    4500          55.28599558          17.63328448        -154.99832442        -137.36503994
    4600          50.52404553          16.11447635        -153.48294467        -137.36846832
    4700          54.85684371          17.49640792        -154.83361380        -137.33720588
    4800          51.59449137          16.45589149        -153.91051760        -137.45462611
    4900          44.15502893          14.08309968        -151.43812846        -137.35502879
    5000          51.70717737          16.49183231        -153.92325201        -137.43141970
    5100          52.30057318          16.68109393        -154.06867952        -137.38758559
    5200          51.27878227          16.35519712        -153.67186317        -137.31666604
    5300          54.15602769          17.27288498        -154.67962264        -137.40673766
    5400          47.70933079          15.21673244        -152.59140074        -137.37466830
    5500          47.75757239          15.23211894        -152.52163650        -137.28951756
    5600          48.72237984          15.53984107        -152.86468473        -137.32484367
    5700          52.41746154          16.71837509        -154.04329630        -137.32492121
    5800          50.39910555          16.07462716        -153.31394920        -137.23932204
    5900          51.63784222          16.46971810        -153.75550907        -137.28579097
    6000          52.83289502          16.85087621        -154.20768989        -137.35681367
    6100          52.94285791          16.88594851        -154.25451413        -137.36856562
    6200          55.40957437          17.67269953        -154.99011187        -137.31741234
    6300          50.97431694          16.25808892        -153.67304105        -137.41495213
    6400          48.37227814          15.42817729        -152.82325932        -137.39508203
    6500          55.98521735          17.85629894        -155.27199966        -137.41570072
    6600          52.27479448          16.67287190        -154.08812942        -137.41525752
    6700          53.41364894          17.03610575        -154.49376555        -137.45765980
    6800          50.28213200          16.03731883        -153.44714670        -137.40982787
    6900          49.56580092          15.80884742        -153.19931759        -137.39047018
    7000          50.94360399          16.24829312        -153.57669949        -137.32840637
    7100          53.01446036          16.90878588        -154.21010427        -137.30131840
    7200          50.34017295          16.05583080        -153.42270300        -137.36687220
    7300          56.29417176          17.95483892        -155.36145194        -137.40661302
    7400          47.99745156          15.30862760        -152.66460651        -137.35597891
    7500          45.51622261          14.51724788        -151.83265350        -137.31540562
    7600          54.61194352          17.41829782        -154.83688615        -137.41858833
    7700          52.30891791          16.68375546        -154.04393381        -137.36017835
    7800          55.68227849          17.75967760        -155.08074524        -137.32106764
    7900          53.35285122          17.01671452        -154.31024253        -137.29352801
    8000          52.38397904          16.70769596        -154.07619129        -137.36849533
    8100          56.76934719          18.10639455        -155.55308473        -137.44669018
    8200          55.97223018          17.85215673        -155.24444723        -137.39229050
    8300          56.15298109          17.90980663        -155.36886606        -137.45905943
    8400          50.90792829          16.23691448        -153.64432192        -137.40740745
    8500          53.24307008          16.98170019        -154.36176658        -137.38006639
    8600          52.34622628          16.69565484        -154.06751954        -137.37186470
    8700          50.11114466          15.98278299        -153.34264287        -137.35985988
    8800          51.80458708          16.52290082        -153.94106291        -137.41816209
    8900          55.29047713          17.63471386        -155.04933404        -137.41462019
    9000          57.29925395          18.27540655        -155.68608813        -137.41068158
    9100          53.66304137          17.11564863        -154.52215940        -137.40651076
    9200          52.35180280          16.69743345        -154.08791361        -137.39048016
    9300          54.83216190          17.48853574        -154.94602725        -137.45749151
    9400          49.92045098          15.92196187        -153.41806378        -137.49610190
    9500          54.04704322          17.23812475        -154.68351387        -137.44538912
    9600          55.82570869          17.80542419        -155.24642371        -137.44099953
    9700          56.53557214          18.03183277        -155.46517187        -137.43333909
    9800          54.26054211          17.30621951        -154.69317829        -137.38695879
    9900          55.33678476          17.64948352        -155.08306287        -137.43357934
   10000          53.38167735          17.02590852        -154.38870794        -137.36279942
Simulation Done.
